Year,Total Asthma in Thousands,Female,Male
2021,41892,22662,19229
2020,42518,23317,19201
2019,41393,21766,19627
2018,41935,23309,18627
2017,42652,22955,19697
2016,43344,23563,19781
2015,40153,21802,18351
2014,40461,22154,18307
2013,37328,20212,17116
2012,39982,21726,18256
2011,39504,21402,18103
2010,39191,21495,17696
2009,39930,21409,18521
2008,38450,20560,17889
2007,34008,18075,15933
2006,34132,18179,15953
2005,32621,17992,14628
2004,30189,15870,14320
2003,29768,16264,13504
2002,30821,16481,14340
2001,31354,16797,14557
